Age,Education Level,Occupation,Interest,Experience,Learning Style,Time Commitment,Preferred Resources,Recommended Skillc    ,,,
16,Bachelor's,Job Seeker,AI/ML,Beginner,Kinesthetic,<5 hrs/week,Paid,"Python, Statistics, Basic ML (Scikit-learn, Pandas)",,,
16,Bachelor's,Job Seeker,Blockchain,Beginner,Reading/Writing,<5 hrs/week,Paid,"Ethereum Basics, Solidity, Web3.js",,,
16,Bachelor's,Job Seeker,Blockchain,Beginner,Auditory,<5 hrs/week,Free,"Ethereum Basics, Solidity, Web3.js",,,
16,Bachelor's,Job Seeker,Blockchain,Beginner,Reading/Writing,>10 hrs/week,Free & Paid,"Ethereum Basics, Solidity, Web3.js",,,
16,Bachelor's,Job Seeker,Blockchain,Beginner,Reading/Writing,>10 hrs/week,Paid,"Ethereum Basics, Solidity, Web3.js",,,
16,Bachelor's,Job Seeker,Blockchain,Beginner,Kinesthetic,5-10 hrs/week,Free & Paid,"Ethereum Basics, Solidity, Web3.js",,,
16,Bachelor's,Job Seeker,Blockchain,Beginner,Visual,<5 hrs/week,Paid,"Ethereum Basics, Solidity, Web3.js",,,
16,Bachelor's,Job Seeker,Blockchain,Beginner,Auditory,<5 hrs/week,Free & Paid,"Ethereum Basics, Solidity, Web3.js",,,
16,Bachelor's,Job Seeker,Blockchain,Beginner,Kinesthetic,5-10 hrs/week,Free & Paid,"Ethereum Basics, Solidity, Web3.js",,,
16,Bachelor's,Job Seeker,Blockchain,Beginner,Auditory,>10 hrs/week,Paid,"Ethereum Basics, Solidity, Web3.js",,,
16,Bachelor's,Job Seeker,Cloud Computing,Beginner,Auditory,>10 hrs/week,Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,Bachelor's,Job Seeker,Cloud Computing,Beginner,Reading/Writing,<5 hrs/week,Free,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,Bachelor's,Job Seeker,Cloud Computing,Beginner,Auditory,<5 hrs/week,Free & Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,Bachelor's,Job Seeker,Cloud Computing,Beginner,Auditory,>10 hrs/week,Free,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,Bachelor's,Job Seeker,Cloud Computing,Beginner,Visual,>10 hrs/week,Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,Bachelor's,Job Seeker,Cloud Computing,Beginner,Auditory,<5 hrs/week,Free & Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,Bachelor's,Job Seeker,Cloud Computing,Beginner,Visual,5-10 hrs/week,Free,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,Bachelor's,Job Seeker,Cloud Computing,Beginner,Visual,<5 hrs/week,Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,Bachelor's,Job Seeker,Cloud Computing,Beginner,Reading/Writing,<5 hrs/week,Free & Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,Bachelor's,Job Seeker,Cloud Computing,Beginner,Visual,5-10 hrs/week,Free & Paid,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
16,Bachelor's,Job Seeker,Cloud Computing,Beginner,Auditory,>10 hrs/week,Free,"AWS/Azure Fundamentals, Linux Basics, Virtualization",,,
